county,state,fips,code,flag,population
Tompkins,New York,36109,NY,s,102180
Craven,North Carolina,37049,NC, ,102139
Columbiana,Ohio,39029,OH, ,101883
Daviess,Kentucky,21059,KY, ,101511
Moore,North Carolina,37125,NC, ,100880
Nevada,California,6057,CA, ,99755
Laramie,Wyoming,56021,WY, L,99500
Garland,Arkansas,5051,AR, ,99386
Roanoke city,Virginia,51770,VA, ,99143
Limestone,Alabama,1083,AL, ,98915
Hunt,Texas,48231,TX, ,98594
Montgomery,Virginia,51121,VA, ,98535
Floyd,Georgia,13115,GA, ,98498
Lenawee,Michigan,26091,MI, ,98451
Putnam,New York,36079,NY, ,98320
Sevier,Tennessee,47155,TN, ,98250
Lancaster,South Carolina,45057,SC, ,98012
Madison,Tennessee,47113,TN, ,97984
Cleveland,North Carolina,37045,NC, ,97947
Grant,Washington,53025,WA, ,97733
Lafourche,Louisiana,22057,LA, ,97614
Dubuque,Iowa,19061,IA, ,97311
Ashtabula,Ohio,39007,OH, ,97241
Sherburne,Minnesota,27141,MN, ,97238
Story,Iowa,19169,IA, ,97117
Sutter,California,6101,CA, ,96971
Fairbanks North Star Borough,Alaska,2090,AK, ,96849
Marshall,Alabama,1095,AL, ,96774
Maury,Tennessee,47119,TN, ,96387
Burleigh,North Dakota,38015,ND, ,95626
Steuben,New York,36101,NY, ,95379
Franklin,Washington,53021,WA, ,95222
Walton,Georgia,13297,GA, ,94593
Portsmouth city,Virginia,51740,VA, ,94398
Nash,North Carolina,37127,NC, ,94298
Roanoke,Virginia,51161,VA, ,94186
Geauga,Ohio,39055,OH, ,93649
Campbell,Kentucky,21037,KY, ,93584
Dallas,Iowa,19049,IA, ,93453
Bowie,Texas,48037,TX, ,93245
Pottawattamie,Iowa,19155,IA, ,93206
Grand Traverse,Michigan,26055,MI, ,93088
Benton,Oregon,41003,OR, ,93053
Madison,Kentucky,21151,KY, ,92987
Lauderdale,Alabama,1077,AL, ,92729
Calvert,Maryland,24009,MD, ,92525
Rogers,Oklahoma,40131,OK, ,92459
Suffolk city,Virginia,51800,VA, ,92108
Victoria,Texas,48469,TX, ,92084
Cape May,New Jersey,34009,NJ, ,92039
Tuscarawas,Ohio,39157,OH, ,91987
Cabell,West Virginia,54011,WV, ,91945
Rockingham,North Carolina,37157,NC, ,91010
Rockdale,Georgia,13247,GA, ,90896
Northumberland,Pennsylvania,42097,PA, ,90843
St. Croix,Wisconsin,55109,WI, ,90687
Burke,North Carolina,37023,NC, ,90485
Wayne,New York,36117,NY, ,89918
Grafton,New Hampshire,33009,NH, ,89886
St. Clair,Alabama,1115,AL, ,89512
Frederick,Virginia,51069,VA, ,89313
Ozaukee,Wisconsin,55089,WI, ,89221
Bastrop,Texas,48021,TX, ,88723
Nassau,Florida,12089,FL, ,88625
Christian,Missouri,29043,MO, ,88595
Liberty,Texas,48291,TX, ,88219
Dougherty,Georgia,13095,GA, ,87956
Dodge,Wisconsin,55027,WI, ,87839
Bannock,Idaho,16005,ID, ,87808
Lapeer,Michigan,26087,MI, ,87607
Josephine,Oregon,41033,OR, ,87487
Buchanan,Missouri,29021,MO, ,87364
Twin Falls,Idaho,16083,ID, ,86878
Mendocino,California,6045,CA,Ss,86749
Angelina,Texas,48005,TX, ,86715
Muskingum,Ohio,39119,OH, ,86215
Orangeburg,South Carolina,45075,SC, ,86175
Lincoln,North Carolina,37109,NC, ,86111
Polk,Oregon,41053,OR, ,86085
Lawrence,Pennsylvania,42073,PA, ,85512
Lee,Mississippi,28081,MS, ,85436
Glynn,Georgia,13127,GA, ,85292
Island,Washington,53029,WA, ,85141
Jefferson,Wisconsin,55055,WI, ,84769
Crawford,Pennsylvania,42039,PA, ,84629
Indiana,Pennsylvania,42063,PA, ,84073
Bartholomew,Indiana,18005,IN, ,83779
Cullman,Alabama,1043,AL, ,83768
Wood,West Virginia,54107,WV, ,83518
Chemung,New York,36015,NY, ,83456
Orange,Texas,48361,TX, ,83396
Barrow,Georgia,13013,GA, ,83240
Midland,Michigan,26111,MI, ,83156
Henderson,Texas,48213,TX, ,82737
Howard,Indiana,18067,IN, ,82544
Caldwell,North Carolina,37027,NC, ,82178
Lynchburg city,Virginia,51680,VA, ,82168
St. Landry,Louisiana,22097,LA, ,82124
Newport,Rhode Island,44005,RI, ,82082
Rockingham,Virginia,51165,VA, ,81948
Wilson,North Carolina,37195,NC, ,81801
Payne,Oklahoma,40119,OK, ,81784
Leavenworth,Kansas,20103,KS, ,81758
Bullitt,Kentucky,21029,KY, ,81676
Cascade,Montana,30013,MT, ,81366
Wagoner,Oklahoma,40145,OK, ,81289
Elmore,Alabama,1051,AL, ,81209
Lewis,Washington,53041,WA, ,80707
Clinton,New York,36019,NY, ,80485
Putnam,Tennessee,47141,TN, ,80245
Talladega,Alabama,1121,AL, ,79978
Natrona,Wyoming,56025,WY, ,79858
Bulloch,Georgia,13031,GA, ,79608
Clinton,Michigan,26037,MI, ,79595
Oconee,South Carolina,45073,SC, ,79546
Kosciusko,Indiana,18085,IN, ,79456
Clearfield,Pennsylvania,42033,PA, ,79255
Bedford,Virginia,51019,VA, ,78997
Manitowoc,Wisconsin,55071,WI, ,78981
Cape Girardeau,Missouri,29031,MO, ,78871
White,Arkansas,5145,AR, ,78753
Yuba,California,6115,CA, ,78668
Floyd,Indiana,18043,IN, ,78522
Hancock,Indiana,18059,IN, ,78168
Umatilla,Oregon,41059,OR, ,77950
Clallam,Washington,53009,WA, ,77331
Chelan,Washington,53007,WA, ,77200
Anderson,Tennessee,47001,TN, ,76978
Cole,Missouri,29051,MO, ,76745
Valencia,New Mexico,35061,NM, ,76688
Ross,Ohio,39141,OH, ,76666
Cayuga,New York,36011,NY, ,76576
James City,Virginia,51095,VA, ,76523
Cattaraugus,New York,36009,NY, ,76117
Cheshire,New Hampshire,33005,NH, ,76085
Coryell,Texas,48099,TX, ,75951
Hancock,Ohio,39063,OH, ,75783
Vermilion,Illinois,17183,IL, ,75758
Van Buren,Michigan,26159,MI, ,75677
Augusta,Virginia,51015,VA, ,75558
Sullivan,New York,36105,NY, ,75432
Scioto,Ohio,39145,OH, ,75314
Grays Harbor,Washington,53027,WA, ,75061
Forrest,Mississippi,28035,MS, ,74897
Putnam,Florida,12107,FL, ,74521
Chatham,North Carolina,37037,NC, ,74470
Erie,Ohio,39043,OH, ,74266
Riley,Kansas,20161,KS, ,74232
Monroe,Florida,12087,FL, ,74228
Lauderdale,Mississippi,28075,MS, ,74125
Walton,Florida,12131,FL, ,74071
Somerset,Pennsylvania,42111,PA, ,73447
Raleigh,West Virginia,54081,WV, ,73361
Lonoke,Arkansas,5085,AR, ,73309
Wood,Wisconsin,55141,WI, ,72999
Jackson,Georgia,13157,GA, ,72977
Walker,Texas,48471,TX, ,72971
Pottawatomie,Oklahoma,40125,OK, ,72592
Kauai,Hawaii,15007,HI,H,72293
Tooele,Utah,49045,UT, ,72259
Apache,Arizona,4001,AZ, ,71887
Robertson,Tennessee,47147,TN, ,71813
Surry,North Carolina,37171,NC, ,71783
Columbia,Florida,12023,FL, ,71686
Creek,Oklahoma,40037,OK, ,71522
DeKalb,Alabama,1049,AL, ,71513
McKinley,New Mexico,35031,NM, ,71367
Fauquier,Virginia,51061,VA, ,71222
Lea,New Mexico,35025,NM, ,71070
Madison,New York,36053,NY, ,70941
Greenwood,South Carolina,45047,SC, ,70811
Portage,Wisconsin,55097,WI, ,70772
Morgan,Indiana,18109,IN, ,70489
Broomfield,Colorado,8014,CO, ,70465
Christian,Kentucky,21047,KY, ,70461
Allegany,Maryland,24001,MD, ,70416
Franklin,Massachusetts,25011,MA, ,70180
Wise,Texas,48497,TX, ,69984
Troup,Georgia,13285,GA, ,69922
Isabella,Michigan,26073,MI, ,69872
Iberia,Louisiana,22045,LA, ,69830
Walker,Georgia,13295,GA, ,69761
Franklin,North Carolina,37069,NC, ,69685
Carteret,North Carolina,37031,NC, ,69473
